"ID","Strategy"
"1701183943900","getting through to the end
"
"1701294092914","I tried to determine which would expire together and choose the larger reward. I also tried to schedule them out to make sure I was getting the max points."
"1701294127758","I ordered them all by turn deadline, then counted by 5 to see which ones I could keep. I then threw away low point valued ones that didn't fit."
"1701294196945","I chose the task that had the highest number. That seemed to be the most reasonable."
"1701294255981"," I looked for the highest points and realized soon that I had to work fast."
"1701294321562","I generally went with the tasks with the highest points and then extrapolated an optimal order from there"
"1701294580927","Focus on points. Dismiss lesser valued tasks if possible."
"1701294604427","I sorted them, then once I got the hang of it, I stopped counting available turns from the ""to be completed now"" value and counted them from how many turns had been used."
"1701294695703","I tried to do the highest paying tasks first."
"1701295144929","I went for the highest value task first, the the second, third, etc."
"1701295170193","Nearest deadline first, then if tie or close do most points."
"1701295249386","I tried to do what I can to maximize the point total while also ensuring that I wasn't go over the cap of 30 turns. I also did what I could to reflect on the previous score."
"1701295344563","i look through the list and start with the task that ends/expire first. if there are multiple tasks that are expiring at similar time, then i pick the one that gives the most reward"
"1701295435020","I dismissed tasks that were the next to expire one by one till I got the green light."
"1701295782212","Try to come close to the totaol with the most points"
"1701296087236","I looked at the points at tried to keep the highest ones if possible. Then I looked at the deadlines and ordered them to maximize then number i could fit in."
"1701297757967","none"
"1701298134924","I tried to choose the tasks that would reward the most points from the worker finishing."
"1701298582765","I didn't quite understand it at first but then I decided to do the shorter expire ones first and I caught on to do smallest expire date to largest date as I then knew it went up by 5s"
"1701301645980","I went with my gut instinct"
"1701302868474","I tried to balance the deadline with the amount of points that I would receive for each task. I started at the lowest allotted deadlind and then selected the choices that offered the most points."
"1702330405303","I picked which task to complete based on the amount of rounds that I had in time that was on it."
"1702332762210","First I put them in order starting with the one that expired the fastest to the longest. Then I looked at what had the highest point value that could be completed in each increment of 5 turns."
"1702332775566","I first put them in order and then kept the highest scoring in the same Turn range."
"1702332779915","I tried to get the biggest reward total done first. The the next biggest... and so on."
"1702332783292","I tried to prioritize the tasks that gave the most amount of points. That's the strategy."
"1702332784078","I gave priority to the ones that had the most points. "
"1702332785147","I gave priority to the highest value points whenever different tasks couldn't be completed."
"1702332787539","I tried to get the highest amount of points by keeping the largest numbers and dismissing the smallest."
"1702332787931","I was going for the highest points first. "
"1702332789890","I just clicked as fast as I could. Did not read anything."
"1702332790003","i looked to use the most time i could with each task taking 5 days"
"1702332790237","My strategy in this game was to focus on the deadline and which of the tasks with the closet deadlines had the most amount of points. I would choose those first, and then choose by amount of points."
"1702332791111","my strategy was random."
"1702332791895","I didn't have a set strategy and sorted based on what I felt was right."
"1702332793728","I ordered them from lowest to highest and went through them, lowest first, and attempted to keep the ones with the highest amount of points within the parameters of not going over in task number."
"1702332794251","I tried to find which tasks gave the most points."
"1702332794736","I tried to prioritize the turn in which the tasks needed to be completed by."
"1702332797211","I tried to maximize my points the best I can. "
"1702332797697","I tried to go for the tasks with the most amount of points first. "
"1702332798378","I guess I didn't understand the instructions very well. I just tried to get through this because I kept getting told my entry was wrong."
"1702332799014","I didn't understand what the strategy to this was. I chose randomly."
"1702332800016","i would first organize them into what needed to be done earliest. From there I was able to eliminate the lower point value items that didn't fit into the time slot."
"1702332801318","I tried to maximum the scores in each round. I will prioritize the tasks according to its scores and the turn before deadline. "
"1702332801545","I do the highest point task first."
"1702332804021","I put the tasks in order, then counted by 5 rounds to see how many would fit. I compared the point values  and discarded the lower valued ones that wouldn't get done in time."
"1702332805773","My strategy was to take the one with the most first and than continue to the one that had the most next. "
"1702332807207","I just tried clicking on the higher point values.  "
"1702332812326","I try to get the ones with the highest points compared to expire time"
"1702332813304","I tried to take the most points with the most turns for best use and see what they addes up to"
"1702332813370","I removed tasks that had duplicate steps and put the rest in order according to their step sequence and discarded the lower point tasks that I would not get to."
"1702332813741","i had to dismiss task with small timeline"
"1702332815073","First arrange by point value. Then eliminate tasks that could not be completed in time."
"1702332818390","Arranged them by task number, found the optimal 5-between high earning tasks. "
"1702332818783","i didnt have time to read expiration and points so i just tried to do the tasks that were worth the most first."
"1702332819006","Once I understood what I was doing, I looked at the tasks that had the earliest deadlines, and tried to find the way to optimize getting them done, and getting paid for them.  I"
