window_title,quadrant
Group Chat - Facebook,2
critical: 8086 Assembly (GitHub),0
monitoring Discord Ping (Slack),2
Simulating Embedded Systems - final,0
Simulating Algorithms - accelerated,0
reacting Discord Ping (Messenger),2
Project Proposal Designing on VS Code [instant],0
forwarding Unplanned Meeting,2
Compiling simulation output - asap,0
Submitting capstone revision - pressing,0
studying Long-Term Planning,1
Laboratory Exercise Simulating on Tinkercad [final],0
Technical Documentation preventive review,1
confirming Social Media Message,2
following up Approval Request,2
Requirement Analysis refactoring,1
following up Client Inquiry,2
8086 Assembly Testing on Canvas [deadline],0
final: Laboratory Exercise (GitHub),0
attending Chat Support (Microsoft Teams),2
Data Structures Debugging on Excel [important],0
instant: Embedded Systems (Microsoft Word),0
responding Minor Formatting Request,2
Debugging System Analysis - emergency,0
Minor Revision - Canvas Notifications,2
reviewing quickly Discord Ping (Telegram),2
rescheduling Administrative Task,2
attending Urgent Reply (Microsoft Teams),2
source code Debugging on Proteus [rush],0
rescheduling Non-Critical Ticket (Google Meet),2
reviewing quickly Queue Monitoring (Zoom),2
planning for Design Patterns,1
practicing Algorithms,1
Writing documentation - critical,0
simulation output Coding on Jupyter Notebook [mandatory],0
Future Proposal Drafting cleanup,1
preparing for Habit Tracking,1
Inbox Review - Outlook,2
reacting Social Media Message (Google Meet),2
improving Preventive Maintenance,1
Compiling Algorithms - deadline,0
roadmap creation for Project Proposal,1
Algorithms Coding on Google Docs [final],0
instant: Logic Gates (GitHub),0
Logic Gates Debugging on Excel [rush],0
Submitting Capstone Project - important,0
rescheduling Reschedule Notice (Messenger),2
Project Proposal Simulating on Canvas [pressing],0
Strategic Planning monitoring,1
Phone Call - WhatsApp,2
instant: Data Structures (Excel),0
following up Quick Call (Slack),2
System Analysis Compiling on Tinkercad [asap],0
answering Non-Critical Ticket,2
outlining for UI/UX Improvement,1
Reviewing Capstone Project - rush,0
answering Client Inquiry (Outlook),2
deadline: project proposal (Google Docs),0
Meeting Request - Slack,2
attending Administrative Task,2
reviewing Goal Setting,1
roadmap creation for Future Proposal Drafting,1
preparing for Time Management,1
following up Phone Call (Zoom),2
Email Replies - Microsoft Teams,2
rush: Circuit Simulation (Jupyter Notebook),0
System Architecture monitoring,1
urgent: Data Structures (Microsoft Word),0
Simulating simulation output - final,0
submission Submitting on Excel [asap],0
approving Task Reminder (Gmail),2
Troubleshooting Microprocessors - emergency,0
practicing Feasibility Analysis,1
replying Administrative Task,2
Testing Capstone Project - priority,0
acknowledging Reminder Message,2
priority: source code (Google Docs),0
Drafting final report - high-priority,0
thesis manuscript Coding on VS Code [time-sensitive],0
responding Quick Question (Zoom),2
Writing thesis manuscript - instant,0
accelerated: Algorithms (StackOverflow),0
Formatting Database Management - instant,0
studying Data Structure Practice,1
confirming Clarification Request (Google Meet),2
Laboratory Exercise Writing on GitHub [mandatory],0
8086 Assembly Simulating on Tinkercad [rush],0
Formatting Capstone Project - accelerated,0
Project Proposal Compiling on Excel [final],0
Final Report Writing on Packet Tracer [rush],0
